Date,EEM,DBC,DGS,PCY
7/7/2014,40.41293,25.75,42.981014,23.831182
7/14/2014,40.661541,25.540001,43.007488,23.652122
7/21/2014,41.232426,25.690001,43.642933,23.936441
7/28/2014,40.569462,25.120001,42.892746,23.454443
8/4/2014,40.247189,25.280001,42.680935,23.495293
8/11/2014,40.983814,24.940001,43.131039,23.789394
8/18/2014,41.2048,24.870001,43.342861,23.942629
8/25/2014,41.490242,25.030001,43.969486,24.164015
9/1/2014,42.217651,24.629999,44.366642,24.106611
9/8/2014,40.320858,23.83,42.830971,23.655642
9/15/2014,40.017002,23.68,42.592678,23.48345
9/22/2014,39.059387,23.49,41.348259,23.594297
9/29/2014,38.009701,22.83,41.138939,23.503769
10/6/2014,37.300701,22.59,40.12944,23.610752
10/13/2014,37.494068,22.27,39.888237,23.80003
10/20/2014,37.770302,22.16,40.07584,23.90263
10/27/2014,38.810776,22.32,40.611851,24.00174
11/3/2014,37.954456,21.98,39.888237,23.828287
11/10/2014,38.157028,21.639999,40.02224,23.638329
11/17/2014,39.077805,21.74,40.692253,23.961908
11/24/2014,38.212269,20.42,40.156246,23.953623
12/1/2014,37.641392,20.17,39.950775,23.787798
12/8/2014,35.302612,19.309999,38.280201,22.98354
12/15/2014,35.763004,19.219999,38.378475,23.439562
12/22/2014,36.81916,18.790001,38.881832,23.549034
12/29/2014,36.212044,18.23,38.450508,23.349255
1/5/2015,36.679054,17.73,39.142426,23.549034
1/12/2015,36.884544,17.549999,39.456928,23.615629
1/19/2015,38.070751,17.290001,40.148838,23.951578
1/26/2015,36.445553,17.4,39.06155,24.051863
2/2/2015,37.19276,18.02,39.483883,23.934866
2/9/2015,37.986687,18.299999,40.07695,23.826218
2/16/2015,37.986687,17.959999,40.049992,23.743195
2/23/2015,38.052071,18.17,40.157825,23.978111
3/2/2015,36.669716,17.57,39.007633,23.600573
3/9/2015,35.773052,16.950001,38.144989,23.365652
3/16/2015,37.435616,17.209999,39.394028,23.844595
3/23/2015,36.856518,17.18,39.313148,23.937277
3/30/2015,38.519085,17.290001,40.813793,24.164768
4/6/2015,40.05088,17.440001,41.793251,24.358561
4/13/2015,39.882755,17.940001,41.874126,24.156338
4/20/2015,40.956879,18,42.485161,24.552977
4/27/2015,40.29372,18.27,42.062832,24.282236
5/4/2015,40.041534,18.219999,41.829193,24.324541
5/11/2015,40.30307,18.450001,42.08979,24.172241
5/18/2015,39.920116,17.99,41.82021,24.259985
5/25/2015,38.406998,17.709999,40.894665,24.149521
6/1/2015,37.463634,17.57,39.744473,23.767139
6/8/2015,37.58506,17.59,39.546783,23.563206
6/15/2015,37.416939,17.450001,39.465912,23.690664
6/22/2015,37.323528,17.700001,39.385048,23.657106
6/29/2015,37.432133,17.75,39.554188,23.836405
7/6/2015,36.171223,17.27,38.348713,23.862017
7/13/2015,36.472328,16.85,38.52998,23.72541
7/20/2015,34.872673,16.139999,36.744423,23.630987
7/27/2015,34.929131,15.73,36.454388,23.922617
8/3/2015,34.157524,15.43,35.901497,23.65671
8/10/2015,33.432976,15.33,35.212646,23.57094
8/17/2015,30.826458,14.81,32.466331,23.372158
8/24/2015,31.795673,15.32,33.254883,23.811674
8/31/2015,30.243055,15.21,31.985958,23.863386
9/7/2015,31.485146,15.23,33.472404,23.889236
9/14/2015,31.833317,15.01,33.825901,24.165014
9/21/2015,30.49712,15.15,32.12191,23.741596
9/28/2015,31.842718,15.15,33.799282,24.010012
10/5/2015,33.818771,15.76,35.312534,24.373672
